Date,Close_Price,Ticker,Volatility_30d
2025-09-09,72.18,PKO.WA,4.83
2025-09-10,71.16,PKO.WA,4.95
2025-09-11,72.6,PKO.WA,5.01
2025-09-12,71.88,PKO.WA,5.09
2025-09-15,71.82,PKO.WA,5.16
2025-09-16,70.54,PKO.WA,5.27
2025-09-17,69.98,PKO.WA,5.4
2025-09-18,69.92,PKO.WA,5.47
2025-09-19,70.22,PKO.WA,5.45
2025-09-22,69.04,PKO.WA,5.34
2025-09-23,69.34,PKO.WA,5.22
2025-09-24,69.46,PKO.WA,5.01
2025-09-25,68.46,PKO.WA,4.64
2025-09-26,70.52,PKO.WA,4.27
2025-09-29,70.18,PKO.WA,3.9
2025-09-30,70.48,PKO.WA,3.39
2025-10-01,71.18,PKO.WA,2.77
2025-10-02,73.8,PKO.WA,1.66
2025-10-03,73.68,PKO.WA,1.67
2025-10-06,73.28,PKO.WA,1.61
2025-10-07,73.56,PKO.WA,1.57
2025-10-08,73.62,PKO.WA,1.56
2025-10-09,73.18,PKO.WA,1.56
2025-10-10,74.0,PKO.WA,1.63
2025-10-13,74.44,PKO.WA,1.69
2025-10-14,73.82,PKO.WA,1.73
2025-10-15,76.0,PKO.WA,1.9
2025-10-16,75.4,PKO.WA,1.99
2025-10-17,74.46,PKO.WA,2.03
2025-10-20,75.62,PKO.WA,2.13
2025-10-21,75.52,PKO.WA,2.22
2025-10-22,76.54,PKO.WA,2.34
2025-10-23,77.36,PKO.WA,2.51
2025-10-24,77.06,PKO.WA,2.64
2025-10-27,76.64,PKO.WA,2.72
2025-10-28,78.26,PKO.WA,2.85
2025-10-29,77.8,PKO.WA,2.91
2025-10-30,77.06,PKO.WA,2.9
2025-10-31,75.7,PKO.WA,2.85
2025-11-03,76.78,PKO.WA,2.75
2025-11-04,76.42,PKO.WA,2.63
2025-11-05,75.48,PKO.WA,2.47
2025-11-06,76.82,PKO.WA,2.22
2025-11-07,75.3,PKO.WA,2.06
2025-11-10,76.94,PKO.WA,1.88
2025-11-12,77.5,PKO.WA,1.7
2025-11-13,76.5,PKO.WA,1.51
2025-11-14,75.4,PKO.WA,1.47
2025-11-17,74.78,PKO.WA,1.43
2025-11-18,73.56,PKO.WA,1.42
2025-11-19,75.4,PKO.WA,1.36
2025-11-20,75.32,PKO.WA,1.3
2025-11-21,73.76,PKO.WA,1.26
2025-11-24,74.28,PKO.WA,1.25
2025-11-25,76.86,PKO.WA,1.23
2025-11-26,77.8,PKO.WA,1.21
2025-11-27,77.88,PKO.WA,1.25
2025-11-28,77.4,PKO.WA,1.26
2025-12-01,78.04,PKO.WA,1.26
2025-12-02,76.9,PKO.WA,1.26
2025-12-03,77.5,PKO.WA,1.27
2025-12-04,77.66,PKO.WA,1.29
2025-12-05,77.32,PKO.WA,1.28
2025-12-08,77.86,PKO.WA,1.31
2025-12-09,80.0,PKO.WA,1.45
2025-12-10,80.5,PKO.WA,1.59
2025-12-11,81.38,PKO.WA,1.8
2025-12-12,81.2,PKO.WA,1.97
2025-12-15,83.5,PKO.WA,2.29
2025-12-16,82.82,PKO.WA,2.51
2025-12-17,82.54,PKO.WA,2.67
2025-12-18,83.74,PKO.WA,2.86
2025-12-19,84.14,PKO.WA,3.07
2025-12-22,84.82,PKO.WA,3.26
2025-12-23,84.44,PKO.WA,3.42
2023-02-10,196.89,TSLA,32.87
2023-02-13,194.64,TSLA,33.44
2023-02-14,209.25,TSLA,34.56
2023-02-15,214.24,TSLA,35.04
2023-02-16,202.04,TSLA,34.87
2023-02-17,208.31,TSLA,34.52
2023-02-21,197.37,TSLA,33.6
2023-02-22,200.86,TSLA,32.89
2023-02-23,202.07,TSLA,31.92
2023-02-24,196.88,TSLA,30.78
2023-02-27,207.63,TSLA,29.71
2023-02-28,205.71,TSLA,28.18
2023-03-01,202.77,TSLA,26.85
2023-03-02,190.9,TSLA,24.82
2023-03-03,197.79,TSLA,22.34
2023-03-06,193.81,TSLA,19.86
2023-03-07,187.71,TSLA,17.88
2023-03-08,182.0,TSLA,15.61
2023-03-09,172.92,TSLA,13.28
2023-03-10,173.44,TSLA,12.33
2023-03-13,174.48,TSLA,12.5
2023-03-14,183.26,TSLA,11.6
2023-03-15,180.45,TSLA,11.21
2023-03-16,184.13,TSLA,11.11
2023-03-17,180.13,TSLA,11.37
2023-03-20,183.25,TSLA,11.52
2023-03-21,197.58,TSLA,11.54
2023-03-22,191.15,TSLA,11.54
2023-03-23,192.22,TSLA,11.46
2023-03-24,190.41,TSLA,11.18
2023-03-27,191.81,TSLA,11.16
2023-03-28,189.19,TSLA,11.18
2023-03-29,193.88,TSLA,10.74
2023-03-30,195.28,TSLA,9.93
2023-03-31,207.46,TSLA,10.18
2023-04-03,194.77,TSLA,9.71
2023-04-04,192.58,TSLA,9.65
2023-04-05,185.52,TSLA,9.52
2023-04-06,185.06,TSLA,9.33
2023-04-10,184.51,TSLA,9.29
2023-04-11,186.79,TSLA,8.67
2023-04-12,180.54,TSLA,8.2
2023-04-13,185.9,TSLA,7.73
2023-04-14,185.0,TSLA,7.72
2023-04-17,187.04,TSLA,7.47
2023-04-18,184.31,TSLA,7.38
2023-04-19,180.59,TSLA,7.46
2023-04-20,162.99,TSLA,8.58
2023-04-21,165.08,TSLA,9.09
2023-04-24,162.55,TSLA,9.79
2023-04-25,160.67,TSLA,10.6
2023-04-26,153.75,TSLA,12.02
2023-04-27,160.19,TSLA,12.76
2023-04-28,164.31,TSLA,13.22
2023-05-01,161.83,TSLA,13.74
2023-05-02,160.31,TSLA,14.29
2023-05-03,160.61,TSLA,14.41
2023-05-04,161.2,TSLA,14.64
2023-05-05,170.06,TSLA,14.5
2023-05-08,171.79,TSLA,14.36
2023-05-09,169.15,TSLA,14.17
2023-05-10,168.54,TSLA,14.05
2023-05-11,172.08,TSLA,13.66
2023-05-12,167.98,TSLA,13.18
2023-05-15,166.35,TSLA,11.69
2023-05-16,166.52,TSLA,10.99
2023-05-17,173.86,TSLA,10.3
2023-05-18,176.89,TSLA,10.01
2023-05-19,180.14,TSLA,9.82
2023-05-22,188.87,TSLA,10.05
2023-05-23,185.77,TSLA,10.0
2023-05-24,182.9,TSLA,10.09
2023-05-25,184.47,TSLA,10.02
2023-05-26,193.17,TSLA,10.5
2023-05-30,201.16,TSLA,11.5
2023-05-31,203.93,TSLA,12.72
2023-06-01,207.52,TSLA,14.17
2023-06-02,213.97,TSLA,15.83
2023-06-05,217.61,TSLA,17.49
2023-06-06,221.31,TSLA,19.04
2023-06-07,224.57,TSLA,20.46
2023-06-08,234.86,TSLA,22.03
2023-06-09,244.4,TSLA,24.18
2023-06-12,249.83,TSLA,26.41
2023-06-13,258.71,TSLA,28.74
2023-06-14,256.79,TSLA,30.36
2023-06-15,255.9,TSLA,31.51
2023-06-16,260.54,TSLA,32.6
2023-06-20,274.45,TSLA,34.55
2023-06-21,259.46,TSLA,35.27
2023-06-22,264.61,TSLA,35.88
2023-06-23,256.6,TSLA,35.81
2023-06-26,241.05,TSLA,35.18
2023-06-27,250.21,TSLA,34.41
2023-06-28,256.24,TSLA,33.49
2023-06-29,257.5,TSLA,32.31
2023-06-30,261.77,TSLA,31.4
2023-07-03,279.82,TSLA,31.15
2023-07-05,282.48,TSLA,30.85
2023-07-06,276.54,TSLA,30.41
2023-07-07,274.43,TSLA,29.39
2023-07-10,269.61,TSLA,27.63
2023-07-11,269.79,TSLA,25.56
2023-07-12,271.99,TSLA,23.8
2023-07-13,277.9,TSLA,22.46
2023-07-14,281.38,TSLA,21.1
2023-07-17,290.38,TSLA,20.06
2023-07-18,293.34,TSLA,19.29
2023-07-19,291.26,TSLA,18.31
2023-07-20,262.9,TSLA,16.54
2023-07-21,260.02,TSLA,14.78
2023-07-24,269.06,TSLA,13.61
2023-07-25,265.28,TSLA,12.95
2023-07-26,264.35,TSLA,12.54
2023-07-27,255.71,TSLA,12.62
2023-07-28,266.44,TSLA,12.46
2023-07-31,267.43,TSLA,12.25
2023-08-01,261.07,TSLA,12.23
2023-08-02,254.11,TSLA,12.45
2023-08-03,259.32,TSLA,12.45
2023-08-04,253.86,TSLA,12.7
2023-08-07,251.45,TSLA,12.88
2023-08-08,249.7,TSLA,12.36
2023-08-09,242.19,TSLA,12.83
2023-08-10,245.34,TSLA,13.3
2023-08-11,242.65,TSLA,13.92
2023-08-14,239.76,TSLA,14.73
2023-08-15,232.96,TSLA,15.63
2023-08-16,225.6,TSLA,16.73
2023-08-17,219.22,TSLA,18.24
2023-08-18,215.49,TSLA,19.78
2023-08-21,231.28,TSLA,20.26
2023-08-22,233.19,TSLA,20.56
2023-08-23,236.86,TSLA,20.61
2023-08-24,230.04,TSLA,20.6
2023-08-25,238.59,TSLA,20.04
2023-08-28,238.82,TSLA,18.78
2023-08-29,257.18,TSLA,16.97
2023-08-30,256.9,TSLA,15.05
2023-08-31,258.08,TSLA,14.9
2023-09-01,245.01,TSLA,14.71
2023-09-05,256.49,TSLA,14.23
2023-09-06,251.92,TSLA,13.83
2023-09-07,251.49,TSLA,13.43
2023-09-08,248.5,TSLA,13.31
2023-09-11,273.58,TSLA,13.76
2023-09-12,267.48,TSLA,13.76
2023-09-13,271.3,TSLA,14.27
2023-09-14,276.04,TSLA,15.23
2023-09-15,274.39,TSLA,15.9
2023-09-18,265.28,TSLA,16.2
2023-09-19,266.5,TSLA,16.55
2023-09-20,262.59,TSLA,16.76
2023-09-21,255.7,TSLA,16.77
2023-09-22,244.88,TSLA,16.77
2023-09-25,246.99,TSLA,16.74
2023-09-26,244.12,TSLA,16.67
